Source,Target
Turning Tides,Turning Tides
regranting facility,Mécanisme de réattribution de subventions
giving facility,Mécanisme de financement
value-led,Fondé(e) sur des valeurs
liberatory philanthropy,Philanthropie émancipatrice
trust-based philanthropy,Philanthropie basée sur la confiance
participatory grantmaking,Processus participatif d’octroi de subventions
equitable grantmaking,Octroi équitable de subventions
decolonisation of philanthropy,Décolonisation de la philanthropie
power-sharing,Partage du pouvoir
civic space,Espace civique
tenure,Régime foncier
tenure security,Sécurité foncière
tenure insecurity,Précarité des droits fonciers
rights recognition,La reconnaissance des droits
rights holders / rights-holders,Détenteurs de droits
tenure rights,Droits fonciers
collective tenure,Régime foncier collectif
community-based tenure,Droits d’usage dans le cadre de régimes fonciers communautaires.
customary tenure,Régime foncier coutumier
"lands, waters and resources","Terres, eaux et ressources"
self-determination,Autodétermination
"Free, Prior and Informed Consent (FPIC)","Consentement Libre, Informé et Préalable (CLIP)"
data sovereignty,Souveraineté des données
marine spatial planning,Planification spatiale marine
coastal zone planning,Aménagement des zones côtières
blue carbon,Carbone bleu
Indigenous Peoples,Peuples Autochtones
local communities,Communautés locales
small-scale fishers,Pêcheurs artisanaux
fish workers,Travailleurs de la pêche
fisher peoples,les peuples pêcheurs
coastal communities,Communautés côtières
artisanal fisheries,Pêche artisanale
grassroots organizations,Organisations communautaires de base
Afro-descendants,Les Afro-descendants
women fish processors,Femmes transformatrices de poisson
fisherwomen,Les femmes travaillant dans la pêche
Steering Committee,Comité de Pilotage
co-leadership model,Modèle de co-leadership
advisory committee,Comité consultatif
fiscal sponsorship,le mécanisme d'arrangement pour la gestion des fonds par une organisation tierce
fiscal sponsor,Une organisation tierce
Terms of Reference,Termes de Référence (TdR)
social contract,Contrat social
conflict of interest,Conflit d’intérêts
due diligence,Diligence raisonnable
grievance mechanism,Mécanisme de recours
co-design,Co-conception
theory of change,Théorie du changement
change pathways,Théorie du changement
grantmaking framework,Cadre d’octroi de subventions
grantmaking,Octroi de subventions
general operating support,Financement pour soutenir le fonctionnement général
multi-year flexible funding,Financement flexible pluriannuel
rapid response,Réponse rapide
partner liaison,Partenaire chargé de liaison
action plan,Plan d’action
language justice,Justice linguistique
support beyond the check,Soutien au-delà du financement
administrative burden,Charge administrative
knowledge and learning,Apprentissage et gestion des connaissances
Grassroots Fund,Fonds pour les organisations communautaires de base
Rapid Response Fund,les fonds dédiés aux situations d'urgence
Knowledge Action Fund,les fonds dédiés aux actions pour les connaissances
Civic Space and Capacity Fund,Fonds dédiés à l’espace civique et au renforcement des capacités
Voluntary Guidelines on the Responsible Governance of Tenure (VGGT),Directives volontaires pour une gouvernance responsable des régimes fonciers (DVGRF)
Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries (SSF Guidelines),Directives volontaires visant à assurer la durabilité de la pêche artisanale
ILO Convention 169,Convention 169 de l'OIT
UN Declaration on the Rights of Indigenous Peoples (UNDRIP),Déclaration des Nations Unies sur les droits des peuples autochtones
rights-based approach,Approche fondée sur les droits
human rights,Droits humains
environmental justice,Justice environnementale
gender equity,l'Équité basée sur le genre
social inclusion,Inclusion sociale
subgrant,Petite-subvention
subgrantee,Bénéficiaire de petite-subvention
