Source,Target
Turning Tides,Turning Tides
regranting facility,Mecanismo de redistribución de fondos
giving facility,Mecanismo de financiamiento
value-led,Basado en valores
liberatory philanthropy,Filantropía liberadora
trust-based philanthropy,Filantropía basada en la confianza
participatory grantmaking,Concesión de subvenciones participativa
equitable grantmaking,Concesión de subvenciones equitativa
decolonisation of philanthropy,Descolonización de la filantropía
power-sharing,Distribución del poder
civic space,Espacio cívico
tenure,Tenencia
tenure security,Seguridad de la tenencia
tenure insecurity,Inseguridad en la tenencia
rights recognition,Reconocimiento de derechos
rights holders / rights-holders,Titulares de derecho
tenure rights,Derechos de tenencia
collective tenure,Tenencia colectiva
community-based tenure,Tenencia comunitaria
customary tenure,Tenencia consuetudinaria
"lands, waters and resources","Tierras, aguas y recursos"
self-determination,Libre determinación
"Free, Prior and Informed Consent (FPIC)","Consentimiento previo, libre e informado"
data sovereignty,Soberanía de datos
marine spatial planning,Ordenamiento del espacio marino
coastal zone planning,Ordenamiento de la zona costera
blue carbon,Carbono azul
Indigenous Peoples,Pueblos Indígenas
local communities,Comunidades locales
small-scale fishers,Pescadores y pescadoras de pequeña escala
fish workers,Trabajadores de la pesca
fisher peoples,Pueblos pescadores
coastal communities,Comunidades costeras
artisanal fisheries,Pescadores artesanales
grassroots organizations,Organizaciones de base
Afro-descendants,Afro-descendientes
women fish processors,Mujeres procesadoras de pescado
fisherwomen,Pescadoras
Steering Committee,Comité Directivo
co-leadership model,Modelo de co-liderazgo
advisory committee,Comité asesor
fiscal sponsorship,Patrocinio fiscal
fiscal sponsor,Patrocinador fiscal
Terms of Reference,Términos de referencia
social contract,Contrato social
conflict of interest,Conflicto de intereses
due diligence,Debida diligencia
grievance mechanism,Mecanismo de reclamación
co-design,Co-diseño
theory of change,Teoría de cambio
change pathways,Trayectorias de cambio
grantmaking framework,Marco de otorgamiento de subvenciones
grantmaking,Otorgamiento de subvenciones
general operating support,Apoyo operativo general
multi-year flexible funding,Financiamiento flexible plurianual
rapid response,Respuesta rápida
partner liaison,Enlace de socios
action plan,Plan de acción
language justice,Justicia lingüística
support beyond the check,Apoyo más allá del financiamiento
administrative burden,Carga administrativa
knowledge and learning,Conocimiento y aprendizaje
Grassroots Fund,Fondo para organizaciones de base
Rapid Response Fund,Fondo de respuesta rápida
Knowledge Action Fund,Fondo de acción basada en el conocimiento
Civic Space and Capacity Fund,Fondo para el espacio cívico y el fortalecimiento de capacidades
Voluntary Guidelines on the Responsible Governance of Tenure (VGGT),Directrices voluntarias sobre la gobernanza responsable de la tenencia (DVGT).
Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries (SSF Guidelines),Directrices voluntarias para lograr la sostenibilidad de la pesca en pequeña escala (Directrices PPE)
ILO Convention 169,Convenio 169 de la OIT
UN Declaration on the Rights of Indigenous Peoples (UNDRIP),Declaración de las Naciones Unidas sobre los derechos de los Pueblos Indígenas
rights-based approach,Enfoque basado en derechos
human rights,Derechos Humanos
environmental justice,Justicia ambiental
gender equity,Equidad de género
social inclusion,Inclusión social
subgrant,Subvención secundaria
subgrantee,Beneficiario de una subvención secundaria
