Source,Target
Turning Tides,Turning Tides
regranting facility,Mecanismo de redistribuição de fundos
giving facility,Mecanismo de financiamento
value-led,Orientada em valores
liberatory philanthropy,Filantropia emancipadora
trust-based philanthropy,Filantropia baseada na confiança
participatory grantmaking,Concessão de subvenções participativa
equitable grantmaking,Concessão de subvenções equitativa
decolonisation of philanthropy,Descolonização da filantropia
power-sharing,Partilha do poder
civic space,Espaço cívico
tenure,Direitos de posse
tenure security,Segurança de posse
tenure insecurity,Insegurança de posse
rights recognition,Reconhecimento de direitos
rights holders / rights-holders,Detentores de direitos
tenure rights,Direitos de posse
collective tenure,Posse coletiva
community-based tenure,Direitos de posse baseados nas comunidades
customary tenure,Direitos consuetudinários de posse
"lands, waters and resources","Terras, águas e recursos"
self-determination,Autodeterminação
"Free, Prior and Informed Consent (FPIC)","Consentimento Livre, Prévio e Informado (CLPI)"
data sovereignty,Soberania de dados
marine spatial planning,Ordenamento do espaço marinho
coastal zone planning,Ordenamento da zona costeira
blue carbon,Carbono azul
Indigenous Peoples,Povos indígenas
local communities,Comunidades locais
small-scale fishers,Pescadores artesanais
fish workers,Trabalhadores da pesca
fisher peoples,Pescadores
coastal communities,Comunidades costeiras
artisanal fisheries,Pescarias artesanais
grassroots organizations,Organizações de base
Afro-descendants,Afro-descendentes
women fish processors,Mulheres transformadoras da pesca
fisherwomen,Pescadoras
Steering Committee,Comité diretor
co-leadership model,Modelo de co-liderança
advisory committee,Comité consultivo
fiscal sponsorship,Patrocínio fiscal
fiscal sponsor,Patrocinador fiscal
Terms of Reference,Termos de referência
social contract,Contrato social
conflict of interest,Conflito de interesse
due diligence,Devida diligência
grievance mechanism,Mecanismo de reclamação
co-design,Co-design
theory of change,Teoria da mudança
change pathways,Caminhos de mudança
grantmaking framework,Enquadramento de concessão de subvenções
grantmaking,Concessão de subvenções
general operating support,Suporte operacional geral
multi-year flexible funding,Financiamento plurianual flexível
rapid response,Resposta rápida
partner liaison,Ponto focal com parceiros
action plan,Plano de ação
language justice,Justiça linguística
support beyond the check,Suporte além do financiamento
administrative burden,Carga administrativa
knowledge and learning,Conhecimento e aprendizado
Grassroots Fund,Fundo para as organizações de base
Rapid Response Fund,Fundo de resposta rápida
Knowledge Action Fund,Fundo de ação baseada em conhecimento
Civic Space and Capacity Fund,Fundo para o espaço cívico e o desenvolvimento de capacidades
Voluntary Guidelines on the Responsible Governance of Tenure (VGGT),Diretrizes voluntárias sobre a governança responsável da posse da terra territórios e outros recursos (DVGT)
Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries (SSF Guidelines),Diretrizes voluntárias para garantir a pesca sustentável em pequena escala (Diretrizes PPE)
ILO Convention 169,Convenção nº 169 da OIT
UN Declaration on the Rights of Indigenous Peoples (UNDRIP),Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas (UNDRIP)
rights-based approach,Abordagem baseada nos direitos humanos
human rights,Direitos humanos
environmental justice,Justiça ambiental
gender equity,Equidade de género
social inclusion,Inclusão social
subgrant,Subvenção
subgrantee,Beneficiário de subvenção
