Source,Target
Turning Tides,Turning Tides
regranting facility,fasilitas perantara dana
giving facility,fasilitas pendanaan
value-led,berbasis nilai
liberatory philanthropy,filantropi liberatif
trust-based philanthropy,filantropi berbasis kepercayaan
participatory grantmaking,penyaluran dana partisipatif
equitable grantmaking,penyaluran dana berkeadilan
decolonisation of philanthropy,dekolonisasi filantropi
power-sharing,pembagian kekuasaan
civic space,ruang sipil
tenure,tenurial
tenure security,keamanan tenurial
tenure insecurity,ketidakpastian tenurial
rights recognition,pengakuan hak
rights holders / rights-holders,pemangku hak
tenure rights,hak tenurial
collective tenure,tenurial kolektif
community-based tenure,tenurial berbasis masyarakat
customary tenure,tenurial adat
"lands, waters and resources","tanah, perairan dan sumberdaya"
self-determination,penentuan nasib sendiri
"Free, Prior and Informed Consent (FPIC)","persetujuan bebas, didahulukan dan diinformasikan"
data sovereignty,kedaulatan data
marine spatial planning,perencanaan tata ruang laut
coastal zone planning,perencanaan wilayah pesisir
blue carbon,karbon biru
Indigenous Peoples,Masyarakat Adat
local communities,masyarakat lokal
small-scale fishers,nelayan skala kecil
fish workers,pekerja perikanan
fisher peoples,masyarakat nelayan
coastal communities,masyarakat pesisir
artisanal fisheries,perikanan skala kecil
grassroots organizations,organisasi akar rumput
Afro-descendants,masyarakat keturununan Afrika
women fish processors,perempuan pengolah hasil perikanan
fisherwomen,perempuan nelayan
Steering Committee,Komite Pengarah
co-leadership model,model kepemimpinan bersama
advisory committee,komite penasihat
fiscal sponsorship,sponsor fiskal
fiscal sponsor,sponsor fiskal
Terms of Reference,Kerangka Acuan
social contract,kontrak sosial
conflict of interest,konflik kepentingan
due diligence,uji tuntas
grievance mechanism,mekanisme pengaduan
co-design,perancangan bersama
theory of change,teori perubahan
change pathways,jalur perubahan
grantmaking framework,kerangka pendanaan
grantmaking,pendanaan
general operating support,dukungan operasional umum
multi-year flexible funding,pendanaan fleksibel multi-tahun
rapid response,tanggapan cepat
partner liaison,penghubung mitra
action plan,rencana aksi
language justice,keadilan bahasa
support beyond the check,dukungan diluar pendanaan
administrative burden,beban administratif
knowledge and learning,pengetahuan dan pembelajaran
Grassroots Fund,Dana Akar Rumput
Rapid Response Fund,Dana Tanggapan Cepat
Knowledge Action Fund,Dana Aksi Pengetahuan
Civic Space and Capacity Fund,Dana Ruang Sipil dan Penguatan Kapasitas
Voluntary Guidelines on the Responsible Governance of Tenure (VGGT),Pedoman Sukarela Tata Kelola Tenurial yang Bertanggung Jawab (VGGT)
"Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries (SSF Guidelines)","Pedoman Sukarela Untuk Melindungi Perikanan Skala Kecil"
ILO Convention 169,Konvensi ILO 169
UN Declaration on the Rights of Indigenous Peoples (UNDRIP),Deklarasi PBB tentang Hak-hak Masyarakat Adat
rights-based approach,pendekatan berbasis hak
human rights,hak asasi manusia
environmental justice,keadilan lingkungan
gender equity,kesetaraan gender
social inclusion,inklusi sosial
subgrant,subhibah
subgrantee,penerima subhibah
